iter	Logloss
0	0.6586250656
1	0.6267856757
2	0.5961555306
3	0.569406133
4	0.5443912199
5	0.5217654741
6	0.5004082948
7	0.4809555538
8	0.4619458088
9	0.4464890357
10	0.4303213798
11	0.4167278598
12	0.4034599221
13	0.3914075524
14	0.3796340825
15	0.3695935153
16	0.3606157676
17	0.3517728491
18	0.3431233789
19	0.3360866039
20	0.3294797332
21	0.3236777603
22	0.3175073607
23	0.31168615
24	0.3068171099
25	0.3019827941
26	0.2975340846
27	0.2936138964
28	0.2895992245
29	0.2862352389
30	0.28288668
31	0.2801879776
32	0.2773970127
33	0.2743431693
34	0.2721712585
35	0.2695836262
36	0.2668762614
37	0.2644685972
38	0.2625142684
39	0.2609513978
40	0.2591888983
41	0.2575758436
42	0.2561758417
43	0.254840393
44	0.2533710793
45	0.2517898608
46	0.2504018293
47	0.2492549726
48	0.2480187789
49	0.2471589168
50	0.2463362903
51	0.2454925542
52	0.2444747617
53	0.2434313982
54	0.2425030106
55	0.2416639923
56	0.2409298124
57	0.2404367523
58	0.2396616281
59	0.2388170703
60	0.2382631754
61	0.237717562
62	0.2372568879
63	0.2366790671
64	0.2361721253
65	0.2355387119
66	0.2351017006
67	0.2348727112
68	0.2344859177
69	0.2341628952
70	0.2337589447
71	0.2333470698
72	0.2327294765
73	0.2322600185
74	0.2317464804
75	0.2314017588
76	0.231070663
77	0.2305804031
78	0.2300879411
79	0.2298177808
80	0.229627859
81	0.2294098541
82	0.2291205249
83	0.2287760646
84	0.2285675301
85	0.2282324582
86	0.227973028
87	0.2279324698
88	0.2277408908
89	0.2274488368
90	0.2272210812
91	0.2269480777
92	0.2267301628
93	0.2263519402
94	0.2260591292
95	0.2258407963
96	0.2256366347
97	0.2253254196
98	0.2249697709
99	0.2246387082
100	0.2243318115
101	0.2239957776
102	0.2238624388
103	0.2236598839
104	0.2234466243
105	0.223106211
106	0.2229645796
107	0.2226873072
108	0.2224776821
109	0.2222554659
110	0.2221331239
111	0.221982161
112	0.2218421478
113	0.2216902728
114	0.2215782326
115	0.2213203532
116	0.2211261412
117	0.2209952308
118	0.2208924962
119	0.2207304374
120	0.2206427885
121	0.2204801321
122	0.2202781531
123	0.2202017774
124	0.2199396812
125	0.2196932968
126	0.2195515551
127	0.2194281754
128	0.2193107111
129	0.2192464041
130	0.2190453286
131	0.2189731852
132	0.2188734874
133	0.2187532411
134	0.2186226858
135	0.2184200263
136	0.2183073148
137	0.2182296979
138	0.2180994895
139	0.2178837126
140	0.2177827775
141	0.2176435902
142	0.2174553774
143	0.2172351977
144	0.2171351042
145	0.2170545654
146	0.2169567273
147	0.2168667868
148	0.2167857806
149	0.21667759
150	0.2165202509
151	0.2162771505
152	0.2161794576
153	0.2160166324
154	0.2158759885
155	0.2157856403
156	0.2157093554
157	0.2155572591
158	0.2154739307
159	0.2154120968
160	0.2151335681
161	0.2149983459
162	0.2149054603
163	0.2147737321
164	0.2146047189
165	0.2144011244
166	0.2143258266
167	0.2142340428
168	0.2140744926
169	0.2140010685
170	0.2138943787
171	0.2138633312
172	0.2137674744
173	0.2136497521
174	0.2135560128
175	0.2134118214
176	0.2133552773
177	0.2132469249
178	0.2131009248
179	0.2129868989
180	0.2128570966
181	0.2127959987
182	0.2127331018
183	0.2126556426
184	0.2125190915
185	0.2124551726
186	0.2122957247
187	0.2122013926
188	0.2121113566
189	0.2119519379
190	0.2118475106
191	0.2117932252
192	0.211671341
193	0.2114958983
194	0.2114271781
195	0.2113546296
196	0.2112702037
197	0.2111591152
198	0.211078317
199	0.2110519878
200	0.210947432
201	0.2108916093
202	0.2108296791
203	0.2107692186
204	0.2107210852
205	0.2106536474
206	0.2105640989
207	0.2104912366
208	0.2103800511
209	0.2102273462
210	0.2101372407
211	0.2100815887
212	0.2100169139
213	0.2099624391
214	0.2099362275
215	0.2098652087
216	0.209788432
217	0.2096780113
218	0.2096465479
219	0.2095838035
220	0.2095032738
221	0.2094642436
222	0.2094198033
223	0.2093585804
224	0.2093092762
225	0.2092196169
226	0.2090390018
227	0.2089475727
228	0.2088819668
229	0.2088190807
230	0.208744986
231	0.2086567841
232	0.2085906848
233	0.2084828797
234	0.2083929155
235	0.2083596601
236	0.208237049
237	0.2080972948
238	0.2080332406
239	0.2079415907
240	0.2078309584
241	0.2077820539
242	0.207703215
243	0.2075826502
244	0.2074979719
245	0.2074337721
246	0.207357424
247	0.207215854
248	0.2070820738
249	0.2070373
250	0.2070044285
251	0.2069254473
252	0.2068452583
253	0.2067611075
254	0.2066952279
255	0.2066119469
256	0.2065451561
257	0.206457118
258	0.2063517837
259	0.2062543572
260	0.206189414
261	0.2061374405
262	0.2060308182
263	0.2059993397
