iter	Passed	Remaining
0	52	52286
1	55	27607
2	58	19425
3	61	15217
4	63	12701
5	66	10983
6	68	9749
7	70	8801
8	73	8134
9	75	7473
10	77	7002
11	80	6601
12	82	6267
13	84	5968
14	87	5713
15	90	5552
16	92	5360
17	95	5184
18	97	5027
19	99	4897
20	102	4766
21	104	4653
22	107	4571
23	110	4476
24	112	4390
25	115	4308
26	117	4226
27	120	4166
28	122	4106
29	124	4039
30	127	3978
31	129	3916
32	131	3859
33	134	3811
34	135	3749
35	138	3707
36	140	3666
37	143	3633
38	145	3594
39	148	3555
40	150	3521
41	153	3500
42	155	3471
43	158	3436
44	160	3407
45	162	3380
46	165	3352
47	167	3327
48	170	3306
49	172	3282
50	175	3259
51	177	3234
52	179	3212
53	182	3195
54	184	3178
55	187	3168
56	190	3149
57	192	3132
58	195	3113
59	197	3096
60	200	3087
61	203	3079
62	206	3068
63	208	3054
64	211	3041
65	213	3027
66	216	3012
67	219	3002
68	221	2988
69	223	2972
70	226	2961
71	228	2947
72	231	2934
73	234	2930
74	237	2923
75	239	2912
76	242	2901
77	244	2890
78	247	2880
79	249	2869
80	252	2859
81	254	2849
82	257	2839
83	259	2829
84	261	2818
85	264	2808
86	267	2802
87	268	2784
88	271	2775
89	273	2765
90	275	2756
91	278	2747
92	280	2737
93	283	2731
94	286	2725
95	288	2716
96	290	2708
97	293	2699
98	295	2692
99	299	2697
100	302	2692
101	305	2686
102	307	2680
103	310	2674
104	312	2667
105	315	2663
106	318	2656
107	320	2648
108	323	2641
109	325	2634
110	327	2626
111	331	2627
112	334	2625
113	336	2618
114	339	2611
115	341	2605
116	344	2598
117	347	2596
118	349	2590
119	352	2584
120	354	2577
121	357	2571
122	359	2565
123	362	2558
124	365	2555
125	367	2551
126	370	2546
127	373	2541
128	375	2535
129	378	2532
130	381	2532
131	384	2526
132	386	2520
133	389	2514
134	391	2507
135	394	2504
136	397	2501
137	399	2497
138	402	2492
139	405	2490
140	407	2484
141	410	2481
142	413	2478
143	416	2473
144	418	2467
145	420	2461
146	423	2455
147	425	2449
148	429	2451
149	432	2448
150	434	2442
151	436	2437
152	439	2432
153	441	2426
154	444	2423
155	447	2421
156	449	2415
157	452	2409
158	454	2404
159	456	2398
160	459	2395
161	462	2392
162	464	2386
163	467	2382
164	469	2377
165	472	2373
166	474	2367
167	477	2364
168	480	2360
169	482	2355
170	484	2350
171	487	2345
172	489	2340
173	492	2338
174	495	2338
175	498	2334
176	501	2330
177	503	2326
178	506	2321
179	508	2318
180	511	2314
181	513	2309
182	516	2305
183	518	2300
184	521	2296
185	523	2292
186	526	2287
187	528	2283
188	531	2279
189	533	2274
190	535	2270
191	538	2265
192	540	2261
193	543	2258
194	545	2253
195	548	2249
196	550	2245
197	553	2241
198	555	2237
199	558	2235
200	561	2231
201	563	2227
202	566	2223
203	568	2218
204	571	2214
205	573	2212
206	576	2209
207	579	2204
208	581	2200
209	584	2197
210	586	2193
211	588	2188
212	591	2186
213	594	2182
214	596	2178
215	599	2175
216	601	2171
217	604	2167
218	606	2164
219	609	2160
220	611	2156
221	614	2152
222	616	2148
223	618	2143
224	621	2139
225	624	2137
226	626	2134
227	629	2130
228	631	2126
229	634	2122
230	636	2118
231	639	2115
232	641	2113
233	644	2109
234	646	2105
235	649	2101
236	651	2098
237	655	2097
238	657	2094
239	660	2091
240	662	2087
241	665	2083
242	667	2079
243	670	2076
244	677	2086
245	679	2083
246	682	2080
247	684	2076
248	687	2074
249	690	2072
250	693	2068
251	696	2065
252	698	2062
253	700	2058
254	704	2056
255	706	2054
256	709	2050
257	711	2047
258	714	2043
259	716	2040
260	719	2038
261	723	2036
262	725	2033
263	727	2029
264	730	2025
265	732	2022
266	736	2021
267	738	2018
268	741	2015
269	743	2011
270	746	2007
271	748	2004
272	751	2000
273	754	1998
274	756	1994
275	759	1991
276	761	1987
277	763	1984
278	766	1980
279	768	1976
280	771	1974
281	773	1970
282	776	1968
283	779	1964
284	781	1960
285	784	1958
286	787	1956
287	789	1953
288	792	1949
289	795	1946
290	797	1943
291	800	1939
292	802	1937
293	805	1933
294	807	1929
295	809	1926
296	812	1923
297	814	1919
298	817	1916
299	820	1913
300	822	1909
301	824	1906
302	827	1902
303	829	1899
304	832	1895
305	835	1894
306	837	1890
307	839	1886
308	842	1883
309	844	1880
310	847	1876
311	849	1874
312	852	1871
313	855	1868
314	857	1864
315	859	1861
316	862	1857
317	865	1855
318	867	1852
319	870	1849
320	873	1847
321	875	1843
322	878	1840
323	880	1836
324	883	1834
325	885	1831
326	888	1828
327	891	1826
328	893	1822
329	896	1819
330	899	1817
331	901	1813
332	903	1810
333	906	1807
334	908	1804
335	911	1801
336	914	1799
337	917	1796
338	919	1793
339	922	1790
340	924	1787
341	927	1783
342	929	1781
343	932	1777
344	934	1774
345	937	1771
346	939	1768
347	942	1764
348	944	1761
349	947	1759
350	949	1756
351	952	1752
352	954	1749
353	957	1746
354	959	1743
355	962	1741
356	965	1738
357	967	1735
358	970	1733
359	973	1730
360	975	1726
361	978	1724
362	981	1721
363	983	1718
364	986	1715
365	988	1712
366	991	1709
367	993	1706
368	996	1703
369	998	1700
370	1000	1697
371	1003	1693
372	1005	1690
373	1007	1686
374	1010	1684
375	1013	1681
376	1015	1678
377	1018	1675
378	1020	1672
379	1023	1669
380	1025	1666
381	1028	1663
382	1030	1660
383	1033	1657
384	1035	1654
385	1038	1651
386	1040	1648
387	1044	1647
388	1047	1644
389	1049	1641
390	1051	1637
391	1054	1634
392	1056	1631
393	1058	1628
394	1061	1626
395	1064	1623
396	1066	1620
397	1069	1617
398	1071	1614
399	1074	1611
400	1076	1608
401	1079	1605
402	1081	1602
403	1084	1599
404	1086	1596
405	1089	1593
406	1092	1591
407	1094	1588
408	1097	1585
409	1099	1582
410	1102	1579
411	1104	1576
412	1106	1573
413	1110	1571
414	1112	1568
415	1114	1564
416	1116	1561
417	1119	1558
418	1121	1555
419	1124	1553
420	1127	1550
421	1129	1547
422	1132	1544
423	1134	1541
424	1137	1538
425	1140	1536
426	1142	1533
427	1145	1531
428	1148	1528
429	1150	1525
430	1153	1522
431	1156	1520
432	1159	1518
433	1162	1516
434	1165	1513
435	1167	1510
436	1169	1507
437	1172	1504
438	1175	1501
439	1177	1499
440	1180	1496
441	1182	1493
442	1185	1490
443	1187	1487
444	1190	1484
445	1193	1481
446	1195	1478
447	1197	1475
448	1200	1472
449	1202	1469
450	1205	1467
451	1208	1464
452	1210	1461
453	1213	1458
454	1215	1455
455	1217	1452
456	1220	1450
457	1223	1447
458	1225	1444
459	1228	1441
460	1230	1438
461	1233	1435
462	1235	1432
463	1238	1430
464	1241	1427
465	1243	1424
466	1245	1421
467	1248	1418
468	1250	1415
469	1258	1419
470	1261	1416
471	1263	1413
472	1266	1410
473	1270	1409
474	1272	1406
475	1275	1404
476	1277	1401
477	1280	1398
478	1282	1395
479	1285	1392
480	1288	1390
481	1290	1387
482	1292	1384
483	1295	1381
484	1297	1378
485	1300	1374
486	1302	1372
487	1305	1369
488	1307	1366
489	1310	1363
490	1312	1360
491	1315	1357
492	1317	1354
493	1320	1352
494	1323	1349
495	1325	1346
496	1328	1344
497	1330	1341
498	1332	1338
499	1335	1335
500	1338	1333
501	1341	1330
502	1343	1327
503	1346	1325
504	1348	1322
505	1351	1319
506	1354	1316
507	1356	1314
508	1359	1311
509	1361	1308
510	1363	1305
511	1366	1302
512	1369	1299
513	1371	1297
514	1374	1294
515	1377	1291
516	1379	1288
517	1381	1285
518	1384	1283
519	1386	1280
520	1389	1277
521	1391	1274
522	1393	1271
523	1396	1268
524	1399	1266
525	1402	1263
526	1404	1260
527	1407	1257
528	1409	1255
529	1412	1252
530	1414	1249
531	1417	1246
532	1419	1243
533	1421	1240
534	1424	1237
535	1426	1235
536	1429	1232
537	1432	1229
538	1434	1227
539	1437	1224
540	1439	1221
541	1442	1218
542	1444	1215
543	1447	1213
544	1449	1210
545	1452	1207
546	1454	1204
547	1457	1202
548	1459	1199
549	1462	1196
550	1465	1193
551	1467	1191
552	1470	1188
553	1473	1186
554	1476	1183
555	1478	1180
556	1481	1177
557	1483	1175
558	1486	1172
559	1488	1169
560	1490	1166
561	1493	1163
562	1497	1162
563	1499	1159
564	1502	1156
565	1504	1153
566	1507	1150
567	1509	1148
568	1512	1145
569	1515	1142
570	1517	1139
571	1519	1137
572	1521	1134
573	1524	1131
574	1526	1128
575	1529	1125
576	1531	1122
577	1534	1120
578	1536	1117
579	1539	1114
580	1541	1111
581	1543	1108
582	1547	1106
583	1549	1103
584	1551	1100
585	1554	1098
586	1556	1095
587	1558	1092
588	1561	1089
589	1564	1087
590	1567	1084
591	1569	1081
592	1572	1078
593	1574	1076
594	1578	1074
595	1580	1071
596	1583	1068
597	1585	1066
598	1588	1063
599	1590	1060
600	1593	1058
601	1596	1055
602	1599	1052
603	1601	1050
604	1604	1047
605	1606	1044
606	1609	1042
607	1612	1039
