Class,Metric,GraphSAGE,GCN,CatBoost,HGT,GAT,HAN
0,precision,0.956,0.962,0.922,0.959,0.967,0.96
0,recall,0.559,0.697,0.999,0.525,0.499,0.478
0,f1-score,0.706,0.809,0.959,0.679,0.658,0.639
1,precision,0.137,0.185,0.914,0.134,0.136,0.127
1,recall,0.73,0.716,0.121,0.767,0.822,0.795
1,f1-score,0.231,0.294,0.214,0.228,0.233,0.22
macro avg,precision,0.546,0.574,0.918,0.547,0.551,0.544
macro avg,recall,0.645,0.707,0.56,0.646,0.66,0.636
macro avg,f1-score,0.468,0.551,0.587,0.453,0.446,0.429
weighted avg,precision,0.884,0.894,0.922,0.887,0.894,0.888
weighted avg,recall,0.574,0.699,0.922,0.546,0.527,0.506
weighted avg,f1-score,0.664,0.764,0.894,0.639,0.621,0.602
