number,value,datetime_start,datetime_complete,duration,params_act,params_add_self_loops,params_bias,params_gnn_aggr,params_hidden_channels_log2,params_jk,params_num_layers,params_to_hetero_aggr,user_attrs_acc,user_attrs_aprc,user_attrs_auc,user_attrs_best_epoch,user_attrs_f1,user_attrs_learning_rate,user_attrs_loss,user_attrs_n_hidden,user_attrs_precision,user_attrs_recall,user_attrs_total_epochs,state
16,0.8002802133560181,2023-01-13 00:42:10.372377,2023-01-13 00:47:55.923364,0 days 00:05:45.550987,leaky_relu,False,False,min,7,last,7,min,0.9346719980239868,0.8002802133560181,0.9660666584968567,522,0.6975089311599731,0.01,1.704654574394226,128,0.5704307556152344,0.8974359035491943,722,COMPLETE
0,0.5925973653793335,2023-01-13 00:12:38.146701,2023-01-13 00:14:47.617278,0 days 00:02:09.470577,leaky_relu,False,False,min,5,last,8,min,0.9286479353904724,0.5925973653793335,0.9210783243179321,641,0.5401859283447266,0.01,3.078592538833618,32,0.38503506779670715,0.9047619104385376,841,COMPLETE
46,0.5484597682952881,2023-01-13 03:00:44.772426,2023-01-13 03:02:40.046598,0 days 00:01:55.274172,leaky_relu,False,True,mean,6,none,5,max,0.9262382984161377,0.5484597682952881,0.9021130204200745,724,0.5687204003334045,0.01,3.2813453674316406,64,0.4203152358531952,0.8791208863258362,924,COMPLETE
34,0.5448695421218872,2023-01-13 02:05:07.497213,2023-01-13 02:09:14.893556,0 days 00:04:07.396343,relu,False,True,min,7,none,5,mean,0.9274430871009827,0.5448695421218872,0.9251320362091064,701,0.42928603291511536,0.01,0.6942464113235474,128,0.28554144501686096,0.8644688725471497,901,COMPLETE
45,0.5156756639480591,2023-01-13 02:58:48.600167,2023-01-13 03:00:44.749204,0 days 00:01:56.149037,leaky_relu,False,True,mean,6,none,6,mean,0.9247657060623169,0.5156756639480591,0.8966852426528931,676,0.6146848201751709,0.01,5.54060173034668,64,0.4763343334197998,0.8663003444671631,876,COMPLETE
49,0.49526846408843994,2023-01-13 03:05:13.811092,2023-01-13 03:08:17.236204,0 days 00:03:03.425112,relu,False,True,mean,6,none,6,max,0.9257028102874756,0.49526846408843994,0.8981232643127441,1010,0.5052742958068848,0.01,3.6354122161865234,64,0.3548148274421692,0.877289354801178,1210,COMPLETE
47,0.476724237203598,2023-01-13 03:02:40.070519,2023-01-13 03:04:10.539683,0 days 00:01:30.469164,leaky_relu,False,True,mean,6,none,5,max,0.9254350662231445,0.476724237203598,0.8967801332473755,524,0.46212849020957947,0.01,2.089637041091919,64,0.31298699975013733,0.8827838897705078,724,COMPLETE
4,0.442385196685791,2023-01-13 00:18:09.159703,2023-01-13 00:25:25.907928,0 days 00:07:16.748225,leaky_relu,False,False,sum,8,last,6,min,0.9285140633583069,0.442385196685791,0.814812958240509,381,0.5019186735153198,0.01,9.714536666870117,256,0.4319683015346527,0.598901093006134,581,COMPLETE
43,0.4377937912940979,2023-01-13 02:45:59.710231,2023-01-13 02:52:17.525233,0 days 00:06:17.815002,leaky_relu,False,True,min,7,none,8,mean,0.9310575723648071,0.4377937912940979,0.7820622324943542,572,0.4785894453525543,0.01,7.372564792633057,128,0.44186046719551086,0.5219780206680298,772,COMPLETE
42,0.4100426435470581,2023-01-13 02:29:47.081945,2023-01-13 02:45:59.687279,0 days 00:16:12.605334,leaky_relu,False,True,min,8,last,8,mean,0.9309237003326416,0.4100426435470581,0.7617260217666626,573,0.443418025970459,0.01,13.897518157958984,256,0.38247013092041016,0.5274725556373596,773,COMPLETE
31,0.3805394172668457,2023-01-13 01:32:58.313626,2023-01-13 01:46:04.243803,0 days 00:13:05.930177,leaky_relu,False,False,min,8,last,7,mean,0.9314591884613037,0.3805394172668457,0.7834374904632568,552,0.42007720470428467,0.01,11.801036834716797,256,0.36315086483955383,0.4981684982776642,752,COMPLETE
13,0.3796176314353943,2023-01-13 00:28:11.445048,2023-01-13 00:40:00.873811,0 days 00:11:49.428763,leaky_relu,False,False,min,8,last,7,mean,0.9298527240753174,0.3796176314353943,0.788434624671936,479,0.39811068773269653,0.01,10.064303398132324,256,0.31517094373703003,0.5402930378913879,679,COMPLETE
23,0.36129117012023926,2023-01-13 01:03:47.827181,2023-01-13 01:12:47.620022,0 days 00:08:59.792841,leaky_relu,False,False,max,8,last,5,min,0.9315930604934692,0.36129117012023926,0.7408403754234314,492,0.3962743282318115,0.01,16.302711486816406,256,0.3685039281845093,0.4285714328289032,692,COMPLETE
32,0.3534279465675354,2023-01-13 01:46:04.268792,2023-01-13 01:55:21.293406,0 days 00:09:17.024614,leaky_relu,False,False,min,8,last,6,mean,0.929049551486969,0.3534279465675354,0.7613413333892822,436,0.3900543451309204,0.01,11.380086898803711,256,0.33873143792152405,0.45970696210861206,636,COMPLETE
48,0.351471483707428,2023-01-13 03:04:10.562711,2023-01-13 03:05:13.787376,0 days 00:01:03.224665,leaky_relu,False,True,mean,5,none,4,max,0.9254350662231445,0.351471483707428,0.8646464943885803,836,0.3764705955982208,0.01,1.8910764455795288,32,0.24179260432720184,0.8498168587684631,1036,COMPLETE
24,0.33641335368156433,2023-01-13 01:12:47.643201,2023-01-13 01:15:25.399807,0 days 00:02:37.756606,leaky_relu,False,False,sum,6,last,8,min,0.929049551486969,0.33641335368156433,0.7804036140441895,629,0.3893928527832031,0.01,10.030736923217773,64,0.31454339623451233,0.5109890103340149,829,COMPLETE
26,0.32998955249786377,2023-01-13 01:17:10.486417,2023-01-13 01:23:05.885077,0 days 00:05:55.398660,leaky_relu,True,True,min,8,none,4,max,0.9270414710044861,0.32998955249786377,0.778153657913208,399,0.3417874276638031,0.01,3.076225519180298,256,0.2549549639225006,0.5183150172233582,599,COMPLETE
29,0.32270437479019165,2023-01-13 01:25:58.759344,2023-01-13 01:31:21.687150,0 days 00:05:22.927806,relu,True,False,min,7,last,7,min,0.9267737865447998,0.32270437479019165,0.7717655897140503,403,0.3691529929637909,0.01,8.35610294342041,128,0.2818532884120941,0.5347985625267029,603,COMPLETE
41,0.31977689266204834,2023-01-13 02:12:29.954791,2023-01-13 02:29:47.058680,0 days 00:17:17.103889,relu,False,False,min,8,last,7,mean,0.9279785752296448,0.31977689266204834,0.787521481513977,843,0.2864471971988678,0.01,3.1186909675598145,256,0.18683770298957825,0.6135531067848206,1043,COMPLETE
30,0.2970779836177826,2023-01-13 01:31:21.709899,2023-01-13 01:32:58.289541,0 days 00:01:36.579642,leaky_relu,False,False,sum,5,last,8,min,0.9269076585769653,0.2970779836177826,0.7811456918716431,693,0.31852656602859497,0.01,6.158155918121338,32,0.22615385055541992,0.5384615659713745,893,COMPLETE
